study,setting,J,F,JF
baseline,default,0.5568,0.5477,0.5522
camera_comp,on,0.5568,0.5477,0.5522
camera_comp,off,0.0826,0.1493,0.1159
adaptive_seed_k,k=0.5,0.5537,0.5654,0.5595
adaptive_seed_k,k=1.0,0.5568,0.5477,0.5522
adaptive_seed_k,k=1.5,0.5259,0.5395,0.5327
adaptive_seed_k,k=2.0,0.3994,0.4358,0.4176
fixed_thresh,t=1.0,0.5112,0.5470,0.5291
fixed_thresh,t=2.0,0.4017,0.4386,0.4201
fixed_thresh,t=3.0,0.1816,0.2512,0.2164
fixed_thresh,t=4.0,0.0789,0.1560,0.1175
connectivity,4,0.5568,0.5474,0.5521
connectivity,8,0.5568,0.5477,0.5522
smoothing,sigma=0.0,0.5570,0.5472,0.5521
smoothing,sigma=1.0,0.5568,0.5477,0.5522
smoothing,sigma=2.0,0.5556,0.5471,0.5514
tau,tau=1.0,0.5568,0.5472,0.5520
tau,tau=1.5,0.5568,0.5477,0.5522
tau,tau=2.0,0.5567,0.5478,0.5522
tau,tau=3.0,0.5566,0.5478,0.5522
