sequence,J,F,JF
bike-packing,0.2499,0.2071,0.2285
blackswan,0.5569,0.6612,0.6091
bmx-trees,0.2423,0.3541,0.2982
breakdance,0.4387,0.5159,0.4773
camel,0.7524,0.7198,0.7361
car-roundabout,0.7214,0.5877,0.6545
car-shadow,0.8485,0.7652,0.8069
cows,0.8058,0.7219,0.7639
dance-twirl,0.6859,0.7134,0.6996
dog,0.6167,0.5724,0.5945
dogs-jump,0.1841,0.2335,0.2088
drift-chicane,0.2697,0.2857,0.2777
drift-straight,0.6857,0.5653,0.6255
goat,0.0570,0.1531,0.1051
gold-fish,0.1515,0.1869,0.1692
horsejump-high,0.3325,0.3721,0.3523
india,0.3533,0.3565,0.3549
judo,0.2357,0.2329,0.2343
kite-surf,0.1289,0.1948,0.1618
lab-coat,0.0299,0.0605,0.0452
libby,0.2291,0.3458,0.2874
loading,0.1412,0.1804,0.1608
mbike-trick,0.1323,0.1436,0.1380
motocross-jump,0.2402,0.2408,0.2405
paragliding-launch,0.1549,0.1281,0.1415
parkour,0.7115,0.7183,0.7149
pigs,0.1487,0.1882,0.1684
scooter-black,0.3307,0.2932,0.3119
shooting,0.2289,0.2184,0.2236
soapbox,0.1873,0.1937,0.1905
MEAN,0.3617,0.3704,0.3660
