sequence,J,F,JF
bike-packing,0.22577989578482838,0.18140481879287132,0.20359235728884983
blackswan,0.5431501856065332,0.6925367644870698,0.6178434750468015
bmx-trees,0.2298431108466016,0.3422954115557175,0.28606926120115955
breakdance,0.44860345857660455,0.5380273060817753,0.4933153823291899
camel,0.7405844719298204,0.6961780275971466,0.7183812497634835
car-roundabout,0.8773815249651449,0.6955796790794828,0.7864806020223138
car-shadow,0.7664315202725447,0.6651620352618117,0.7157967777671782
cows,0.7853325995816239,0.6953609932575662,0.7403467964195951
dance-twirl,0.5478030313703429,0.5761307150061208,0.5619668731882319
dog,0.296051900076482,0.29677956210100814,0.2964157310887451
dogs-jump,0.21006752152108954,0.2256556796207967,0.21786160057094311
drift-chicane,0.3174907610863784,0.333690934602372,0.3255908478443752
drift-straight,0.7479952995945979,0.6323413023804297,0.6901683009875138
goat,0.009272540470814062,0.10416623663259032,0.05671938855170219
gold-fish,0.17007998879028824,0.18627168283388734,0.1781758358120878
horsejump-high,0.3283281674085176,0.36970104436742407,0.34901460588797084
india,0.3200506215919427,0.33097331591800505,0.3255119687549739
judo,0.2251125292108216,0.19711044247890647,0.21111148584486403
kite-surf,0.14881655705295585,0.2491630811809681,0.19898981911696198
lab-coat,0.032243159060935535,0.04156015390901226,0.0369016564849739
libby,0.2887577604255412,0.41745164405996493,0.35310470224275303
loading,0.1424606993614229,0.16155717739222183,0.15200893837682236
mbike-trick,0.17100090189385733,0.19519897847174028,0.1830999401827988
motocross-jump,0.2209923538410369,0.2675670831041774,0.24427971847260715
paragliding-launch,0.1644961362957744,0.14799700301403843,0.1562465696549064
parkour,0.6948625940591825,0.7136255936177385,0.7042440938384604
pigs,0.13825907616392683,0.15872902904344277,0.1484940526036848
scooter-black,0.3180773929197909,0.28776522423861467,0.3029213085792028
shooting,0.24626170505725228,0.23455255450758272,0.24040712978241752
soapbox,0.187025874402142,0.20546080400016284,0.19624333920115242
MEAN,0.3514204446406265,0.3613331426198216,0.35637679363022395
