sequence,J,F,JF
bike-packing,0.10045564660621661,0.08035540548258749,0.09040552604440205
blackswan,0.4548999967135142,0.44146742274769607,0.4481837097306052
bmx-trees,0.09487835502202746,0.17888383770138178,0.13688109636170462
breakdance,0.06824299958530491,0.1455563395329238,0.10689966955911435
camel,0.6279161910355263,0.4495848259438815,0.538750508489704
car-roundabout,0.12332304714313094,0.2531257580555553,0.18822440259934314
car-shadow,0.10900131755192959,0.15282824820755764,0.13091478287974362
cows,0.34922370737769104,0.3191836466896519,0.3342036770336715
dance-twirl,0.08348579440041443,0.19816968767199677,0.1408277410362056
dog,0.2912238527618583,0.2671570795556235,0.2791904661587409
dogs-jump,0.2079313296498281,0.2245082988641353,0.2162198142569817
drift-chicane,0.10810309156715267,0.25675584253432154,0.1824294670507371
drift-straight,0.1499216825096187,0.10810007838334429,0.1290108804464815
goat,0.0030178558691889307,0.013269945552141577,0.008143900710665255
gold-fish,0.17500911840660907,0.19718809894537745,0.18609860867599326
horsejump-high,0.13814667328371177,0.2911977104660223,0.21467219187486702
india,0.34585687678611476,0.34647638672892345,0.3461666317575191
judo,0.19509021092527332,0.21507434044336146,0.2050822756843174
kite-surf,0.12779150414944804,0.1773727122099583,0.15258210817970316
lab-coat,0.02707503023232451,0.036371389299913924,0.03172320976611922
libby,0.21843477281238072,0.28262514529906013,0.2505299590557204
loading,0.14620614760111403,0.15987323876027443,0.15303969318069421
mbike-trick,0.10751946955062747,0.1617623969360241,0.13464093324332577
motocross-jump,0.07993616419394581,0.15620720975416214,0.11807168697405397
paragliding-launch,0.0704522086272339,0.15606025852096247,0.1132562335740982
parkour,0.1278838639327844,0.18877538982201078,0.1583296268773976
pigs,0.14485416493840278,0.1641112374511743,0.15448270119478855
scooter-black,0.10347226579541152,0.19932110160717967,0.1513966837012956
shooting,0.2203121963522985,0.22859922345454123,0.22445570990341987
soapbox,0.09831106651988357,0.22473124471570272,0.16152115561779315
MEAN,0.1699325533966989,0.20915645004458158,0.18954450172064022
