sequence,J,F,JF
bike-packing,0.2260577875365983,0.19792446429511562,0.21199112591585695
blackswan,0.5385254610399923,0.6610228516637995,0.5997741563518959
bmx-trees,0.2145622704238694,0.31424871347865774,0.26440549195126356
breakdance,0.4275041547191648,0.510381645392333,0.4689429000557489
camel,0.7635889000948946,0.7312800286834856,0.7474344643891901
car-roundabout,0.8667409355178824,0.6838835743680546,0.7753122549429685
car-shadow,0.8515929973284468,0.7942086052396914,0.8229008012840691
cows,0.8113516227640295,0.7170321154773389,0.7641918691206842
dance-twirl,0.5973433724857027,0.6257624834460163,0.6115529279658595
dog,0.31249754141872155,0.33919648831993016,0.3258470148693259
dogs-jump,0.19320295258359868,0.2138374412841271,0.2035201969338629
drift-chicane,0.3108570730756748,0.38550580219349995,0.34818143763458737
drift-straight,0.7138335193142643,0.5750774022027761,0.6444554607585202
goat,0.0283910386883422,0.12067836070493529,0.07453469969663874
gold-fish,0.16185719572783633,0.18610134205970905,0.1739792688937727
horsejump-high,0.33726639480010895,0.37649469511865863,0.3568805449593838
india,0.35411030034923546,0.3584721778595099,0.35629123910437266
judo,0.23090603685431502,0.2383243741643386,0.2346152055093268
kite-surf,0.17692084916703932,0.23890531213056046,0.20791308064879988
lab-coat,0.03313277581645803,0.051227635938219954,0.04218020587733899
libby,0.2563431880048003,0.3513051508267756,0.30382416941578794
loading,0.14066979662584264,0.16750220311719285,0.15408599987151775
mbike-trick,0.1838420450681406,0.20741605382707046,0.19562904944760554
motocross-jump,0.1997754272229592,0.20329293310134264,0.2015341801621509
paragliding-launch,0.1445596721944728,0.15696465993241387,0.15076216606344334
parkour,0.6265750564086033,0.6468686314743686,0.6367218439414859
pigs,0.1506700498975882,0.19335316289757823,0.17201160639758323
scooter-black,0.320656643844257,0.26510611783614335,0.2928813808402002
shooting,0.23938189130970797,0.2231245667368376,0.23125322902327278
soapbox,0.18606758164163995,0.1980918855294995,0.19207973358556973
MEAN,0.3532928177308063,0.36441969597666607,0.3588562568537361
