sequence,J,F,JF
bike-packing,0.01564676681684322,0.005686135384706848,0.010666451100775035
blackswan,0.020122715704943162,0.07705061519306364,0.0485866654490034
bmx-trees,0.02488941428621516,0.03404153169993117,0.029465472993073165
breakdance,0.0065194044492007785,0.02794332455040454,0.01723136449980266
camel,0.16101331077794973,0.1815291443832052,0.17127122758057745
car-roundabout,0.5819902339345311,0.6945707570766901,0.6382804955056106
car-shadow,0.5704818727740235,0.6161029589332676,0.5932924158536456
cows,0.12049359929734618,0.1968428098894138,0.15866820459338
dance-twirl,0.0020872943732069596,0.005748250289570668,0.003917772331388814
dog,0.48119490911464163,0.7725925864595933,0.6268937477871175
dogs-jump,0.26058288333305873,0.28644330135006735,0.27351309234156307
drift-chicane,0.285587251638125,0.32581604145246956,0.3057016465452973
drift-straight,0.5174253644297309,0.5538791401135806,0.5356522522716558
goat,0.0001494576711901284,0.003506794790312817,0.0018281262307514728
gold-fish,0.1195034236526487,0.12539484153904942,0.12244913259584905
horsejump-high,0.002394584104717355,0.0075374172319339315,0.004966000668325643
india,0.28275850042948414,0.29710789706470875,0.28993319874709644
judo,0.0008435354810708943,0.014366560547571803,0.0076050480143213485
kite-surf,0.07097145192392017,0.10400409762525191,0.08748777477458604
lab-coat,0.004340437439967678,0.037343855611834245,0.02084214652590096
libby,0.09633806293116187,0.1132131763105757,0.10477561962086879
loading,0.28147057670278697,0.34909919517618504,0.315284885939486
mbike-trick,0.01913488478036755,0.03661533503061477,0.027875109905491163
motocross-jump,0.009237631337666037,0.009895235533739496,0.009566433435702766
paragliding-launch,0.004487166229011619,0.03377326203964046,0.01913021413432604
parkour,0.258150777321665,0.30006462510323734,0.2791077012124512
pigs,0.1101357225655429,0.1262968532213099,0.11821628789342639
scooter-black,0.009204401823304722,0.0245950722557463,0.016899737039525513
shooting,0.017751746033439573,0.03252999926835053,0.025140872650895055
soapbox,0.03692077675897681,0.05321983752873354,0.045070307143855175
MEAN,0.14572760527055795,0.18156035508849203,0.163643980179525
